ID,final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group,gamer?,game days / week,team frequency,top 5 games,games essay,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,"7017235: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335381: I am a gamer.,7335382: How many days per week do you game?,7335383: How often do you game in a team?,"7335384: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335385: Does your gaming make you a better team player? How?
39,85,True,7.0,Most of the time,"War of the Visions FFBE,Final Fantasy XIV,,,","Yes, my gaming makes me a better team player. In Final Fantasy XIV, I normally play as a healer. To complete most of the instanced content (such as dungeons, raids, etc.), the player has to be in either a preformed or random group. Every player has a role in the group, be it a tank, a healer, or a damage dealer. Each role has their part to play in order to complete the content. As a healer, I have to not only make sure I handle the dungeon properly myself, but I also have to make sure the other players stay alive in the content. Even further, the more each player optimizes how they play, the easier and faster it is to complete the content. I normally also have to work with the tanks and other healers (if there are others) to handle mechanics that require communication, such as if the tank is about to take a lot of damage and will require shields and healing. More specifically, I play as a ""shield healer"" so my role is to predict what is coming and mitigate the damage as much as I can, that way less is taken and therefore less actual healing is required. Lastly, I also play a bit of the other roles so that I can better understand the content from different perspectives. This allows me to be a better healer, because I know what to expect and how to handle it. The combination of all of these has helped me become a team player, as I have learned to complement, compromise, and communicate with the rest of the team.",,High Frequency,,,,,,,,,,,,,,
40,85,True,3.0,Some of the time,"League of Legends,Skyrim,Starcraft2,Fallout,",It can. It helps to be able to communicate clearly with your team. It makes for a higher success rate.,,Low Frequency,,,,,,,,,,,,,,
41,86,True,3.0,Always,"Counter Strike,Call of Duty Warzone,League of Legends,N/A,N/A","Yes, gaming tends to make me a better team player. In most of the games I play teamwork is encouraged and necessary to win. I have learned from experience that if there is major conflict among teammates or certain members of the team working alone it usually leads to losing.",,Low Frequency,,,,,,,,,,,,,,
42,86,True,5.0,Most of the time,"Valorant,League of Legends,Rocket League,Back 4 Blood,Enter the Gungeon","Yes, I would say gaming makes me a better team player. This is because it helps with communication, separate roles allow for versatility and there are specific tasks for each role, and team based games help with decision making based on what information you do and don't know.",,High Frequency,,,,,,,,,,,,,,
43,86,False,1.0,Half of the time,"Apex Legends,Outer Worlds ,Call of Duty,Rocket League ,Fallout: New Vegas","Yes, I think that working towards a common goal with another person over a multiplayer game builds communication skills. These skills are mostly patience and problem solving.",,Low Frequency,,,,,,,,,,,,,,
44,87,True,5.0,Half of the time,"Assorted Card Games,Assorted Board Games,Halo,The Binding of Issac,Assorted Fighting Games","In the past when I was more competitive about first person shooters, those games were the main place in which I developed cooperative skills.",,High Frequency,,,,,,,,,,,,,,
45,87,True,7.0,Most of the time,"Minecraft,Destiny 2,Call of Duty,Apex Legends,Cyberpunk 2077","Me, personally, it does. When I play the games that I play, I am trying win or reach an objective. And often when I fail, I look for what I can do better; learn the ins and outs of the game to win. Most of the games I play, the key component to winning games is teamwork. ",,High Frequency,,,,,,,,,,,,,,
46,87,True,6.0,Most of the time,"Super Smash Bros. Ultimate,Tom Clancy's Rainbow Six Siege,Minecraft,Splatoon (any of them\, I can't wait for the new one coming this year),Pokemon (way too much when a new installment comes out\, but not enough in between to be higher on the list)","I think it does make me a better team player.

Playing games, especially team based ones, let's you learn how properly working as a team can both make the game more fun for the entire team and make the entire team better at the game (or just get better results). Some things that I've learned about working in a team from gaming is that communication is key (when everyone knows what's going on and what the plan is, the team is much more likely to succeed) and that sometimes the role you would like to play isn't always the role that your team needs, but you should switch roles when there is a role that isn't as much fun/easy as the others. You can't always be the main damage guy who gets to go in guns blazing shouting ""LEEROY JENKINS!!!"" as you go. Sometimes you have to play the healer that stays back and make sure everyone is healed up and ready to go, and that's okay because it leads to a healthy team environment while maintaining the required balance to make the team succeed. Gaming has almost made these concepts second nature to me and I think that makes me a good team player.

Side note: I've never really thought about whether being a gamer helps with being a team player or not, but it feels kind of obvious now that it does. Thanks for the reflective question!",,High Frequency,,,,,,,,,,,,,,
47,88,True,3.0,Never,"TF2,Battlefront 2,BF4,BF5,Titanfall 2","Since I do not typically play with others, gaming has not done anything to make me a better team player.",,Low Frequency,,,,,,,,,,,,,,
48,88,True,3.0,Half of the time,"Monster Hunter Rise,League of Legends,Breath of the Wild,Animal Crossing,","Yes! It teaches me to take losses in stride, admit and learn from my mistakes, and recuperate with a fresh attitude for the next round! ",,Low Frequency,,,,,,,,,,,,,,
49,88,True,3.0,Some of the time,"Halo,Escape from Tarkov,Battlefield,Minecraft,Indie games",I think so. When I'm working in a group it usually comes a little easier to delegate tasks just like when I'm gaming.,,Low Frequency,,,,,,,,,,,,,,
50,88,True,1.0,Never,"pikmin 3,kirby star allies,katamari damaci,super mario bros,mario kart","not all the games i play necessarily, but the ones that use teams make me one because katamari for example requires you to work with others so you can collect the largest possible trash pile",,Low Frequency,,,,,,,,,,,,,,
51,89,True,3.0,Some of the time,"Rocket League,Forza Horizon 5,Halo Infinite,Forza Horizon 4,COD","Yes, because through gaming you are using the same fundamental soft skills that are also used in team collaboration. When you're gaming in a group, you require organization and good communication skills to ensure your team is successful. The same requirements are needed for any team project to be successful. ",,Low Frequency,,,,,,,,,,,,,,
52,89,True,7.0,Half of the time,"Overwatch,League of Ledends,Apex,Monster Hunter,Genshin","Yes, it does. Sometimes I need to take the time to do the most damage with my teammates.",,High Frequency,,,,,,,,,,,,,,
53,89,False,0.0,Never,"Minecraft,Fossil Fighters,,,",No.,,Low Frequency,,,,,,,,,,,,,,
54,89,True,5.0,Most of the time,"Risk of Rain,Overwatch,Minecraft,Pokemon,Siege",Yes I think it does make me a better team player because for a couple of semesters here at CSU I was on the esports Overwatch team and it helped me to communicate more with others and learn more about the game from others rather than just figuring it out by myself. It helped me to not just rely on my skill alone but on others as well.,,High Frequency,,,,,,,,,,,,,,
55,90,True,6.0,Most of the time,"Star Wars Galaxies,Apex Legends,Stardew Valley,Black Desert,Resident Evil","Absolutely. Apex legends has a ranking system. For a long time, I was stuck at my rank while playing mostly solo. I finally decided to start using my mic and communicate with my teammates. I saw instantaneous improvements, and upped my rank in no time. It is clear that a team of medium-skill players that are all on the same page will always win against a high-skill solo player.",,High Frequency,,,,,,,,,,,,,,
56,90,True,5.0,Never,"13 Sentinels,Danganronpa,Death Stranding,HITMAN,Red Dead Redemption","No, because I never play on a team and I don't learn skills from video games.",,High Frequency,,,,,,,,,,,,,,
57,90,True,6.0,Most of the time,"Animal Crossing,Fortnite,Pokemon,GTA,Other","Some games more than others, make me a better team player, yes.

 

For example:

In Fortnite, I work in a team to defeat everyone else and ultimately win the game, being a clear, nice, and concise communicator is key to success. 

In Animal crossing, there may not be much communication needed as there is no specific end goal, but when playing with friends, we tend to work together to help one specific individual complete a goal. Essentially helping one another get ahead or complete a project.

In Pokemon, most of the time I play by myself, but with this, I can strategize and improve on my own and later on take into account feedback from my friends who also played the game solo. This improves both of our knowledge and I'm able to learn a lot more quickly when talking with my friends about the same games we play which incentivize me to ask for details in the future, ultimately reminding myself that team knowledge is more powerful than individual knowledge.

 

When it comes to solving problems and communicating effectively, depending on the video game, you can learn a lot of techniques that can help with real-world situations in addition to helping with social skills.",,High Frequency,,,,,,,,,,,,,,
58,91,True,4.0,Some of the time,"Borderlands 3,Forza horizon 5,Grand Theft Auto 5,Binding of Isaac,Minecraft",I believe it does in some ways. Usually you have to communicate very well and think on the fly while you're achieving a common goal. It's important that everyone knows their roles and how they fit into the team. ,,High Frequency,,,,,,,,,,,,,,
59,91,True,4.0,Some of the time,"Total War Warhammer,Stellaris,Mobile Games(Various),League of Legends,Final Fantasy","Considering that I rarely play with multiple people, and the people I play with are usually friends that I work well with, it probably doesn't have an effect one way or another for me.",,High Frequency,,,,,,,,,,,,,,
60,91,True,3.0,Most of the time,"call of duty,Minecraft,rocket league ,rally car,lost man sky","Yes, gaming as a team teaches you to work as a team and when obstacles are too large it teaches one how to distribute the work load in order to accomplish the task.",,Low Frequency,,,,,,,,,,,,,,
61,91,True,6.0,Half of the time,"God Of War,Super People,Far Cry 6,Call of Duty,Monster Hunter",Yes. There is much strategy needed in many multiplayer games.,,High Frequency,,,,,,,,,,,,,,
62,91,True,7.0,Half of the time,"Tom Clancy's Rainbow Six Siege,Skyrim,Minecraft,League Of Legends,Dark Souls","I would say that gaming does assist myself with being a better team player. Team games are based on working with others to complete a goal typically against another team. This experience can apply to the real world of many instances where you can be thrown into a group of people and have to solve a problem.

I do think team gaming can go either way with what people take away from the experience. With any team work there are bad habits that could be picked up from the anonymity of online gaming combined. It would depend from person to person if gaming assists them in becoming a better team player.",,High Frequency,,,,,,,,,,,,,,
63,91,True,3.0,Most of the time,"Nba2k,Madden ,Rocket League,Battlefield,Valorant","It tends to from time to time, depending on the people you are working with, you're only as best as your weakest member of the team, so everyone needs to be pulling their weight, also getting along with your team. You gain nothing with arguing but with proper discussion and discourse.",,Low Frequency,,,,,,,,,,,,,,
64,91,True,4.0,Most of the time,"Dark Souls,World of Warcraft,Deep Rock Galactic,Risk of Rain 2,Call of Duty","I think so. I tend to play games that rely heavily on cooperation and coordination. I love the camaraderie of beating that next boss, completing the raid, and sharing in the celebration of overcoming the challenge. I also love to share my experiences with others, it wouldn't quite be the same to beat a difficult challenge solo and tell folks about it afterwards. I like having my friends along for the ride too.

More to the point, I'm not sure it is gaming itself that makes me a better team player, not in any sort of ""training up my cooperative skills"" sort of way. I think I have a tendency to prefer sharing my in-game successes with others, and that is what drives me toward being a team player.

(Also on Question 2 above, that answer is only accurate when school isn't in session. During the semester I may sit down for some gametime on a free Sunday but I prefer to keep my external distractions to a minimum!)",,High Frequency,,,,,,,,,,,,,,
65,92,True,7.0,Half of the time,"VRChat,Warthunder,Monster Hunter Rise,Squad,Ready or Not",My gaming makes me a better team player as it helps develop my ability to work with others on a shared goal with static and ever changing team mates. The games I have played have also taught me how to deal with client requests and determine what a client really wants with their request.,,High Frequency,,,,,,,,,,,,,,
66,92,True,5.0,Most of the time,"Age of Empires IV,Hunt: Showdown,Rainbow Six: Siege,Rust,League of Legends",I'd say it improves communication quite a bit and you learn to be more forgiving of losses when you can see the games where you have been the one to cause a loss as well. I'd say it overall improves your ability to be a team player.,,High Frequency,,,,,,,,,,,,,,
67,92,True,2.0,Most of the time,"Rainbow Six,Apex,Dead by Daylight,Destiny,Call of Duty","I believe that gaming does make me a better team player because it requires me to give precise information that all my teammates  can comprehend , as well as work along side them and trust them when executing plays.",,Low Frequency,,,,,,,,,,,,,,
68,93,True,3.0,Most of the time,"Magic The Gathering: Arena,League of Legends,Apex Legends,Dead by Daylight,",I would like to think it makes me more considerate of how my individual actions could affect the outcome or experience for my teammates.,,Low Frequency,,,,,,,,,,,,,,
69,93,True,7.0,Most of the time,"Apex,Rocket league,Assassins Creed,Brawhalla,","I would say depends. Since the game I play the most depends on teamwork, yes. At the same time if you play with a random teammate and they are not doing their share of the work then I have to step up my work and trust my partner less.",,High Frequency,,,,,,,,,,,,,,
70,93,True,2.0,Half of the time,"FIFA,call of duty,Arcade games,mario,clash royale",Gaming does make you a better team player because it helps you learn how to work together in order to accomplish a task more efficiently.,,Low Frequency,,,,,,,,,,,,,,
71,93,True,7.0,Most of the time,"Halo,League of Legends,Pokemon Unite,Pokemon Go,Raft","I believe it can help. I think it helps me communicate better. I also believe I am able to take in the information from other team members and use it effectively. It has also taught me patience and humility. I realize some people arent up to the same speed as me, and I am not as good as others. ",,High Frequency,,,,,,,,,,,,,,
72,93,True,5.0,Some of the time,"Monster Hunter: Rise,Monster Hunter: World,Breath of the Wild,Valheim,Animal Crossing","I believe gaming has made me a better team player. In a game, you are often tasked with completing an objective within a certain time frame.  Achieving your objective requires you to collaborate and communicate clearly with other players. Gaming lets you practice those skills with your friends or a group of strangers. ",,High Frequency,,,,,,,,,,,,,,
73,93,True,5.0,Most of the time,"Minecraft,Apex Legends,Halo Infinite,Overwatch,Titanfall 2",I do believe gaming can make me a better team player. I have been playing Apex with two close friends for a couple of years and as we've all continued to improve we have gained a better understanding of each other's strengths and weaknesses. This has allowed us to function better as a team within games. We also trust each other to help when we need it and that definitely is true outside of gaming too. The more I work on an activity with someone the better I can effectively work with them and we can get things done faster and better than before.,,High Frequency,,,,,,,,,,,,,,
74,93,True,7.0,Most of the time,"Escape From Tarkov,CS GO,Rocket League,Forza Horizon 5,Brawlhalla","Yes, in CSGO and most other team games you can not always win by yourself. You need to work as a team to win. Also, it makes me a better team player because I need to interact with many different people and not cause conflict because the conflict in a team is a quick way to lose the game.",,High Frequency,,,,,,,,,,,,,,
75,94,True,6.0,Most of the time,"Halo Infinite,Clash Royale,Call of Duty,Super Smash Brothers Ultimate,Minecraft",Yes mostly because the players in the team might be better at something than others and we could combine each others skills to accomplish a common goal to win. ,,High Frequency,,,,,,,,,,,,,,
76,94,True,3.0,Some of the time,"Smash Bros ,Sea of Thieves,World of Warcraft,Mario Kart,Diablo 3","Depends on the game and community. Some games value teamwork and respect for others, while some are restrictive and toxic. In a respectful environment, teams work together and coordinate to win the game, which teaches sportsmanship and collaboration with others. In a not so respectful environment, it can discourage people from working with others and have a negative impact on your personal confidence with others. For me it definitely makes me a better team player as I try to work with others. ",,Low Frequency,,,,,,,,,,,,,,
77,95,True,4.0,Most of the time,"Brawlhalla,Fortnite,Clash of Clans,Halo,","Yes, when I play games where I have teammates I need to be able to communicate with them so we can coordinate a strategy. It also teaches me that I cannot do everything myself all the time and that working with people can be very useful to accomplish big tasks. ",,High Frequency,,,,,,,,,,,,,,
78,96,True,5.0,Most of the time,"star wars battlefront 2,monster hunter rise,dark souls 1 remastered,Halo Infinite,Persona","It teaches me how to communicate better and convey thoughts in a more precise manner. It helps me learn the strengths and weakness of my team members, allowing me to play to their strengths and make up for their weaknesses and vice versa. ",,High Frequency,,,,,,,,,,,,,,
